id,career_id,nombre,creditos
136,3,GEOMETRIA DESCRIPTIVA,5
137,3,SEMINARIO Y VISITAS DE OBRA I,1
138,3,METODOLOGIA DE LA INVESTIGACION,4
139,3,SEMINARIO DE ORIENTACION ING. CIVIL,0
140,3,ALGEBRA B,8
141,3,HERRAMIENTAS DE COMPUTO II,3
142,3,CALCULO B,8
143,3,ESTATICA,10
144,3,MATERIALES DE CONSTRUCCION,7
145,3,DIBUJO CIVIL Y ARQUITECTONICO,5
146,3,SEMINARIO Y VISITAS DE OBRA II,1
147,3,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
148,3,INGLES 1,0
149,3,ESTADISTICA APLICADA,8
150,3,ANALISIS NUMERICO,6
151,3,CALCULO D,8
152,3,ANALISIS DE ESTRUCTURAS ISOSTATICAS,10
153,3,TOPOGRAFIA,10
154,3,FISICA C,6
155,3,SEMINARIO Y VISITAS DE OBRA III,1
156,3,LIDERAZGO Y EMPRENDIMIENTO,3
157,3,INGLES 2,0
158,3,INGENIERIA DE SISTEMAS,8
159,3,HERRAMIENTAS DE COMPUTO III,6
160,3,CINEMATICA,8
161,3,MECANICA DE MATERIALES,10
162,3,CONSTRUCCION I,10
163,3,SISTEMAS ELECTROMECANICOS,6
164,3,ARTE- CULTURA Y HUMANIDADES I,2
165,3,INGLES 3,0
166,3,TEORIA DE LA PLANEACION,6
167,3,HIDRAULICA I,12
168,3,CINETICA,8
169,3,ANALISIS DE ESTRUCTURAS HIPERESTATICAS I,10
170,3,GEOTECNIA I,12
171,3,ARTE- CULTURA Y HUMANIDADES II,2
172,3,INGLES 4,0
173,3,QUIMICA DEL AGUA,8
174,3,HIDRAULICA II,11
175,3,ESTRUCTURAS DE CONCRETO,10
176,3,ANALISIS DE ESTRUCTURAS HIPERESTATICAS II,10
177,3,CONSTRUCCION II,10
178,3,ACTIVIDADES ARTISTICAS- DEPORTIVAS O DE DIVULGACION,2
179,3,INGLES 5,0
180,3,ADMINISTRACION- ECONOMIA Y LEGISLACION EN LA CONSTRUCCION,8
181,3,INGENIERIA SANITARIA,10
182,3,HIDROLOGIA,8
183,3,ESTRUCTURAS DE ACERO,10
184,3,SIMULACION DE SISTEMAS ESTRUCTURALES,6
185,3,GEOTECNIA II,10
186,3,TALLER DE PROYECTOS I,6
187,3,INSTALACIONES EN EDIFICIOS,8
188,3,OBRAS HIDRAULICAS,10
189,3,GEOHIDROLOGIA,8
190,3,CIMENTACIONES,6
191,3,CONSTRUCCION III,10
192,3,TALLER DE PROYECTOS II,6
193,3,URBANISMO,6
194,3,PUENTES,8
195,3,INGENIERIA SISMICA,6
196,3,VIAS TERRESTRES,10
197,3,CONSTRUCCION IV,6
198,3,LICITACION DE OBRAS,6
199,3,TALLER DE PROYECTOS III,10
200,3,INGENIERIA SUSTENTABLE,6
201,3,INGENIERIA VIAL,8
202,3,PRACTICAS PROFESIONALES I,15
203,3,INGENIERIA DE COSTOS- CONTABILIDAD Y ESTADOS FINANCIEROS,6
204,3,TALLER DE PROYECTOS IV,10
205,3,SEMINARIO DE EGRESO,0
206,4,QUIMICA A,8
207,4,MATEMATICAS DISCRETAS I,8
208,4,PENSAMIENTO ALGORITMICO,8
209,4,TEMAS SELECTOS DE MATEMATICAS,8
210,4,HERRAMIENTAS DE SOFTWARE,8
211,4,SEMINARIO DE ORIENTACION EN COMPUTACION,2
212,4,METODOLOGIA DE LA INVESTIGACION,4
213,4,CALCULO A,8
214,4,MATEMATICAS DISCRETAS II,8
215,4,ESTRUCTURAS DE DATOS I,8
216,4,ALGEBRA B,8
217,4,FUNDAMENTOS DE CURCUITOS ELECTRICOS,10
218,4,ARTE- CULTURA Y HUMANIDADES I,2
219,4,INGLES 1,5
220,4,CALCULO B,8
221,4,INGENIERIA DE SOFTWARE,8
222,4,ESTRUCTURAS DE DATOS II,8
223,4,LENGUAJES DE PROGRAMACION,8
224,4,DISPOSITIVOS SEMICONDUCTORES,10
225,4,FUNDAMENTOS DE DISEÑO DIGITAL,8
226,4,CALCULO D,8
227,4,FISICA A,8
228,4,TECNOLOGIA ORIENTADA A OBJETOS,8
229,4,ALGORITMOS Y COMPLEJIDAD,8
230,4,DISEÑO DIGITAL,10
231,4,TENDENCIAS SOCIALES,2
232,4,INGLES 2,5
233,4,ANALISIS NUMERICO,8
234,4,INTERFACES GRAFICAS CON APLICACIONES,8
235,4,SISTEMAS OPERATIVOS,8
236,4,DISEÑO DE MICROCOMPUTADORAS,8
237,4,GESTION Y DESARROLLO SOCIAL,2
238,4,INGLES 3,5
239,4,INGENIERIA DE SOFTWARE B,8
240,4,GRAFOS,10
241,4,PROBABILIDAD Y ESTADISTICA,8
242,4,ADMINISTRACION,8
243,4,MICROCONTROLADORES,10
244,4,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
245,4,INGLES 4,5
246,4,ADMINISTRACION DE PROYECTOS I,8
247,4,GRAFICACION POR COMPUTADORA,8
248,4,COMPILADORES E INTERPRETES A,10
249,4,SISTEMAS OPERATIVOS B,10
250,4,ESTRUCTURAS DE ARCHIVOS,8
251,4,ROBOTICA,8
